#
#
# US Geological Survey
# retrieved: 2023-09-25 10:15:24 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2023-09-25 10:15:24 EDT
#
# there are 684 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	05406450	BLACK EARTH CREEK LOW FLOW NO 3 NR CROSS PLAINS,WI
USGS	054064502	BLACK EARTH CR @ LOW RD LOW FLOW 1 NR MIDDLETON,WI
USGS	054064504	RAIN GAGE SITE NO. 1 NEAR MIDDLETON, WI
USGS	054064506	BLACK EARTH CREEK LOW FLOW NO 2 NR CROSS PLAINS,WI
USGS	054064509	BLACK EARTH CK AT STAGECOACH RD NR CROSS PLAINS,WI
USGS	05406451	BLACK EARTH CREEK AT TOWN RD NEAR CROSS PLAINS, WI
USGS	05406452	BLACK EARTH CREEK LOW FLOW NO 1 NR CROSS PLAINS,WI
USGS	05406454	BLACK EARTH CREEK LOW FLOW NO 4 NR CROSS PLAINS,WI
USGS	05406455	BLACK EARTH CREEK @ FESTGES DR NR CROSS PLAINS, WI
USGS	05406464	RAIN GAGE SITE NO. 2 NEAR CROSS PLAINS, WI
USGS	05406465	BREWERY CREEK AT CT HIGHWAY K NEAR CROSS PLAINS,WI
USGS	05406468	BREWERY CR AT ENCHANT. VLY. RD NR CROSS PLAINS, WI
USGS	054064685	BREWERY CREEK AT COUNTY P NEAR CROSS PLAINS, WI
USGS	05406469	BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI
USGS	05427255	KOSHKONONG SEWAGE TREATMENT AT SUN PRIARIE, WI
USGS	05427256	STP EFFLUENT CHANNEL AT SUN PRAIRIE, WI
USGS	05427257	KOSHKONONG CR 50' DS STP OUTFALL SUN PRAIRIE, WI
USGS	05427258	KOSHKONONG CR .8M DS STP OUTFALL SUN PRAIRIE, WI
USGS	05427259	KOSHKONONG CR 1.26M DS FR STP AT SUN PRAIRIE, WI
USGS	05427260	KOSHKONONG CR 1.52M DS F OUTFALL SUN PRAIRIE, WI
USGS	05427261	KOSHKONONG CR 1.78M DS FR STP AT SUN PRAIRIE, WI
USGS	05427263	KOSHKONONG CR 1.8M DS FR OUTFALL SUN PRAIRIE, WI
USGS	05427264	KOSHKONONG CR 2.02M DS FR STP AT SUN PRAIRIE, WI
USGS	05427265	KOSHKONONG CR 2.69M DS FR STP AT SUN PRAIRIE, WI
USGS	05427267	KOSHKONONG CREEK TRIBUTARY NEAR SUN PRAIRIE, WI
USGS	05427268	KOSHKONONG CR 3.19M DS FR STP AT SUN PRAIRIE, WI
USGS	05427269	KOSHKONONG CR 3.39M DS FR STP AT SUN PRAIRIE, WI
USGS	05427270	KOSHKONONG CREEK NEAR SUN PRAIRIE, WI
USGS	05427271	KOSHKONONG CREEK AT FARM DR NEAR SUN PRAIRIE, WI
USGS	05427275	KOSHKONONG CREEK AT CTH T NEAR SUN PRAIRIE, WI
USGS	05427278	KOSHKONONG CREEK AT CTH N NEAR COTTAGE GROVE, WI
USGS	05427283	KOSHKONONG CREEK AT CTH TT NEAR COTTAGE GROVE, WI
USGS	05427769	TOKEN CR TRB-WYNDAM HILLS UPSTRM-NR SUN PRAIRIE,WI
USGS	05427770	TOKEN CREEK TRIB.-WYNDAM HILLS-NEAR SUN PRAIRIE,WI
USGS	05427796	TOKEN CR HARBISON TRB @ POND OTL NR TOKEN CREEK,WI
USGS	05427800	TOKEN CREEK NEAR MADISON, WI
USGS	05427850	YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON, WI
USGS	05427851	YAHARA RIVER AT WESTPORT ROAD NEAR MADISON, WI
USGS	05427880	SIXMILE CREEK AT STATE HIGHWAY 19 NEAR WAUNAKEE,WI
USGS	05427890	SIXMILE CREEK AT WAUNAKEE, WI
USGS	05427900	SIXMILE CREEK NEAR WAUNAKEE, WI
USGS	05427905	SIXMILE CREEK AT WOODLAND DRIVE NEAR WAUNAKEE, WI
USGS	05427910	SIXMILE CREEK @ COUNTY TRNK HGHWY M NR WAUNAKEE,WI
USGS	054279101	SIXMILE CREEK AT CTH M-QW SITE-NEAR WAUNAKEE, WI
USGS	05427927	DORN (SPRING) CREEK @ CT HIGHWAY Q NR WAUNAKEE, WI
USGS	05427930	DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI
USGS	054279301	DORN (SPRING) CREEK @ CTH M-QW SITE-NR WAUNAKEE,WI
USGS	05427933	SPRING CREEK AT NORTH SHORE ROAD NEAR WESTPORT, WI
USGS	05427937	WARNER PARK STORM DITCH AT MADISON, WI
USGS	05427940	Pheasant Branch at Schneider Road nr Ashton, WI
USGS	05427943	PHEASANT BRANCH AT AIRPORT ROAD NEAR MIDDLETON, WI
USGS	054279435	PHEASANT BR W. OF CONFLUENCE POND @ MIDDLETON, WI
USGS	054279447	SOUTH FK PHEASANT BR @ FOURIER DR NR MIDDLETON, WI
USGS	054279449	SF PHEASANT BR.-DETENTION OUTLET-AT MIDDLETON, WI
USGS	05427945	S FK PHEASANT BRANCH AT HWY 14 NEAR MIDDLETON, WI
USGS	05427946	ESSER'S POND AT MIDDLETON, WI
USGS	054279465	S FORK PHEASANT BRANCH @ DEMING WAY @ MIDDLETON,WI
USGS	054279475	PHEASANT BRANCH UPSTREAM OF HWY 12 @ MIDDLETON, WI
USGS	05427948	PHEASANT BRANCH AT MIDDLETON, WI
USGS	054279485	STRICKER'S POND AT MIDDLETON, WI
USGS	05427949	TIEDEMAN'S POND AT MIDDLETON, WI
USGS	05427950	PHEASANT BRANCH AT CENTURY AVE AT MIDDLETON, WI
USGS	054279501	PHEASANT BRANCH UPSTREAM FROM MARSH @ MIDDLETON,WI
USGS	054279502	GRABER POND AT MIDDLETON, WI
USGS	054279505	TRIB TO PHEASANT BRANCH TRIB AT MIDDLETON, WI
USGS	054279509	PHEASANT BRANCH TRIBUTARY AT MIDDLETON, WI
USGS	05427952	PHEASANT BRANCH AT MOUTH AT MIDDLETON, WI
USGS	05427959	GAMMON ROAD GUTTER FLOW ISCO AT MADISON, WI
USGS	054279591	GAMMON ROAD GUTTER FLOW SHEET AT MADISON, WI
USGS	05427960	WEST TOWNE PARKING LOT STORM SEWER @ MADISON, WI
USGS	05427965	SPRING HARBOR STORM SEWER AT MADISON, WI
USGS	05427968	LAKE MENDOTA AT DEEP HOLE AT MADISON, WI
USGS	05427969	RESERVOIR PARK GUTTER FLOW ISCO AT MADISON, WI
USGS	054279691	RESERVOIR PARK GUTTER FLOW SHEET AT MADISON, WI
USGS	05427970	WILLOW CREEK AT MADISON, WI
USGS	05427973	UW OBSERVATORY DRIVE STORM SEWER AT MADISON, WI
USGS	05427980	HARPER STREET STORM SEWER AT MADISON, WI
USGS	05427988	SEGOE PLAYGROUND GUTTER FLOW ISCO AT MADISON, WI
USGS	054279881	SEGOE PLAYGROUND GUTTER FLOW SHEET AT MADISON, WI
USGS	05428000	LAKE MENDOTA AT MADISON, WI
USGS	05428500	YAHARA RIVER AT EAST MAIN STREET AT MADISON, WI
USGS	05428540	LAKELAND AVENUE STORM SEWER AT MADISON, WI
USGS	05428570	HEADWTR WEST BRANCH STARKWEATHER CRK @ MADISON, WI
USGS	05428580	WEST BRANCH STARKWEATHER CRK @ INTL LN MADISON, WI
USGS	05428600	WEST BRANCH STARKWEATHER CREEK AT MADISON, WI
USGS	05428630	EAST SPRINGS ROAD STORM SEWER AT MADISON, WI
USGS	05428650	EAST BRANCH STARKWEATHER CREEK AT MADISON, WI
USGS	05428660	STARKWEATHER CREEK AT MADISON, WI
USGS	05428665	OLBRICH PARK STORM DITCH AT MADISON, WI
USGS	05428668	STARKWEATHER CREEK ABOVE ATWOOD AVE AT MADISON, WI
USGS	05429000	LAKE MONONA AT MADISON, WI
USGS	05429040	MANITOU WAY STORM SEWER AT MADISON, WI
USGS	05429045	DN-07/09E/33-NAKOMA RAIN GAGE AT MADISON, WI
USGS	05429050	NAKOMA STORM SEWER AT MADISON, WI
USGS	05429060	MALLATT STORM SEWER AT MADISON, WI
USGS	05429065	MONROE STREET GUTTER FLOW ISCO AT MADISON, WI
USGS	054290651	MONROE STREET GUTTER FLOW SHEET AT MADISON, WI
USGS	05429073	TODD DR ENTRANCE RAMP STORM SEWER AT MADISON, WI
USGS	05429080	MARSHLAND CREEK AT MADISON, WI
USGS	05429090	KNICKERBOCKER STORM SEWER AT MADISON, WI
USGS	05429110	VAN BUREN STORM SEWER AT MADISON, WI
USGS	05429118	LAKE WINGRA AT MADISON, WI
USGS	05429120	LAKE WINGRA OUTLET AT MADISON, WI
USGS	05429130	STORMCEPTOR MAINTENANCE YD @ BADGER AT MADISON, WI
USGS	05429131	STORMCEPTOR OUTLET AT BADGER ROAD AT MADISON, WI
USGS	05429132	STORMCEPTOR BYPASS AT BADGER ROAD AT MADISON, WI
USGS	05429133	STORMCEPTOR TANK AT BADGER ROAD AT MADISON, WI
USGS	05429150	MURPHY CREEK AT MADISON, WI
USGS	05429162	LAKE MONONA OUTLET AT MONONA, WI
USGS	05429215	NEVIN WETLAND SITE H AT MADISON, WI
USGS	05429217	NEVIN WETLAND SITE F AT MADISON, WI
USGS	05429220	NEVIN WETLAND SITE B AT MADISON, WI
USGS	05429221	NEVIN WETLAND SITE G AT MADISON, WI
USGS	05429224	NEVIN WETLAND SITE A AT MADISON, WI
USGS	05429228	NEVIN WETLAND SITE C AT MADISON, WI
USGS	05429230	NEVIN WETLAND SITE D AT MADISON, WI
USGS	05429268	NINE SPRINGS CR STORM SEWER TRIB AT MADISON, WI
USGS	05429269	NINE SPRINGS CREEK AT HIGHWAY 14 NEAR MADISON, WI
USGS	05429280	NINE SPRINGS CREEK AT MOORLAND RD NEAR MADISON, WI
USGS	05429300	WARMAN PARKING LOT OUTFALL AT MONONA, WI
USGS	054293001	WARMAN FLOW COMPOSITE SAMPLE AT MONONA, WI
USGS	054293002	WARMAN TIME COMPOSITE SAMPLE AT MONONA, WI
USGS	054293003	WARMAN POLLUTAGRAPH SAMPLE AT MONONA, WI
USGS	054293004	WARMAN HIGH TRAFFIC SAMPLE AT MONONA, WI
USGS	054293005	WARMAN STEEL STORAGE SAMPLE AT MONONA, WI
USGS	054293006	WARMAN CASTING STORAGE SAMPLE AT MONONA, WI
USGS	05429369	SWAN CREEK AT LALOR ROAD NEAR FITCHBURG, WI
USGS	05429485	LAKE WAUBESA AT MC FARLAND, WI
USGS	05429500	YAHARA RIVER AT MC FARLAND, WI
USGS	05429560	DOOR CREEK @ VILAS HOPE RD NEAR COTTAGE GROVE, WI
USGS	05429580	DOOR CREEK NEAR COTTAGE GROVE, WI
USGS	05429590	LITTLE DOOR CREEK NEAR COTTAGE GROVE, WI
